1	0	0
2	-3.7	0.7
3	-3.3	1.2
4	-3.4	1.6
5	-4.2	2
6	-3.6	1
7	-4.2	2
8	-2.7	3.1
9	-4.3	3.6
10	-3.5	2.8
11	-5.5	5.7
12	-2.5	3.5
13	-3.6	2.3
14	-2.8	3
15	-3.2	3.6
16	-3.4	3.2
17	-3.1	3.3
18	-3.3	3.4
19	-3.5	3.9
20	-3	3.3
21	-2.9	3.3
22	-3.4	3.3
23	-3.3	3.1
24	-5.5	5.8
25	-3.2	3.4
26	-3.1	3.5
27	-2.8	4
28	-3	3.9
29	-3.2	4
30	-3.3	3.2
31	-3	3.9
32	-3.2	3.9
33	-2.6	3.8
34	-2.7	3.6
35	-2.7	3.6
36	-2.8	3.7
37	-2.8	3.7
38	-2.6	3.7
39	-2.6	3.1
40	-2.5	3.4
41	-2.4	3.7
42	-2.5	3.7
43	-2.5	3.7
44	-2.5	3.7
45	-2	3.7
46	-2.1	3.7
47	-1.7	3.6
48	-1.7	3.4
49	-3.6	5.7
50	-1.8	3.5
51	-1.7	3.2
52	-1.8	3.1
53	-1.2	2.6
54	-1.6	2.7
55	-2.9	3.9
56	-1.7	2.7
57	-1.5	2.8
58	-3.9	3.7
59	-3.2	3.8
60	-3.2	3.8
61	-3.3	3.8
62	-2.9	3.8
63	-3.1	4
64	-3.2	4
65	-3.3	4
66	-2.8	4.2
67	-1.7	2.7
68	-5	4.6
69	-5.2	4
70	-5.5	3.9
71	-6.3	4.5
72	-5.5	4.2
73	-5.1	4.8
74	-5	4.6
75	-5.3	5.2
76	-4.1	2.9
77	-5	4.5
78	-5.1	4.6
79	-5.2	4.7
80	-5.2	5.4
81	-5	5.2
82	-5.2	5.3
83	-5	5.2
84	-5	6
85	-5.3	5.5
86	-5.4	5.4
87	-7	4.2
88	-8.2	5.3
89	-8.1	5.3
90	-6.9	4.1
91	-6.8	4.1
92	-8.3	4.2
93	-7.1	4.1
94	-7.9	4
95	-7.7	4
96	-8.5	4.1
97	-8.6	4.1
98	-8.6	3.7
99	-9.7	3.9
100	-9	4
101	-3.2	5.9
102	-5.7	4.3
103	-7	6.5
104	-8.4	5.3
105	-8.6	5.3
106	-5	5.7
107	-5.4	5.6
108	-5.2	6
109	-5.7	5.7
110	-7	5.5
111	-6.9	5.5
112	-7.2	5.5
113	-6.9	5.1
114	-6.9	5.1
115	-6.6	5.2
116	-6.8	4.9
117	-7	4.7
118	-7	4.8
119	-7.1	4.9
120	-7.2	4.9
121	-8.1	5.3
122	-8.2	3.8
123	-7.8	4.4
124	-8	4.4
125	-8.1	5.5
126	-10.1	6.1
127	-9.7	5.7
128	-7.1	5.9
129	-5.8	7
130	-6.9	5.5
131	-5.9	4.3
132	-8.3	4.3
133	-7.3	4.1
134	-6	4.3
135	-4	3.6
136	-4.1	3.6
137	-4.2	3.8
138	-4	3.8
139	-3.9	3.8
140	-4.3	4.3
141	-4.9	5.2
142	-5.2	5.2
143	-4.4	5.3
144	-4.4	5.1
145	-4.5	5.7
146	-4	5.6
147	-3.7	6
148	-4.4	5.8
149	-4.6	6.3
150	-3.9	3.6
151	-3.8	3.2
152	-4	3.3
153	-4.1	3.8
154	-4.1	3.9
155	-4	3.7
156	-5	4.8
157	-4.7	4.8
158	-3.9	4.4
159	-3.8	4.5
160	-3.7	4.6
161	-4.4	4.3
162	-4.2	3.7
163	-2.9	3.6
164	-8.1	3.7
165	-4.2	3.5
166	-5.1	4.4
167	-5.1	4.4
168	-4.9	5.2
169	-4.8	4.3
170	-4.6	4.4
171	-4.6	4.3
172	-4.9	5.4
173	-5.2	5.6
174	-4.3	4.3
175	-4.6	5.1
176	-4.6	5.2
177	-5.6	8.7
178	-4.9	6.2
179	-4.4	6.4
180	-4.3	6.5
181	-4.8	6.5
182	-5	6.5
183	-4.7	6.7
184	-5.6	7.6
185	-5.6	7.4
186	-5.3	6.8
187	-5.4	7
188	-4.3	8
189	-3.8	7.7
190	-4	7.7
191	-4.1	7.8
192	-5.4	7.2
193	-5.7	8.2
194	-5.2	9
195	-5	9.1
196	-3.8	8.9
197	-4.2	10.3
198	-4.5	9.9
199	-3.4	10
200	-3.4	9.7
201	-4	3.3
